,gender,age,time,year,time_seconds
1570,F,30,1:18:30,2022,4710
1571,F,23,1:18:34,2022,4714
1572,M,24,1:18:34,2022,4714
1573,F,31,1:18:49,2022,4729
1574,F,58,1:18:53,2022,4733
1575,M,37,1:19:24,2022,4764
1576,M,63,1:19:25,2022,4765
1577,M,35,1:19:27,2022,4767
1578,M,32,1:19:31,2022,4771
1579,M,32,1:20:02,2022,4802
1580,F,32,1:20:06,2022,4806
1581,F,32,1:20:10,2022,4810
1582,M,26,1:20:28,2022,4828
1583,M,24,1:20:38,2022,4838
1584,F,54,1:20:46,2022,4846
1585,M,52,1:20:51,2022,4851
1586,M,56,1:21:22,2022,4882
1587,M,53,1:21:24,2022,4884
1588,M,47,1:21:35,2022,4895
1589,M,51,1:22:01,2022,4921
1590,F,34,1:22:19,2022,4939
1591,M,63,1:22:21,2022,4941
1592,M,48,1:22:31,2022,4951
1593,M,60,1:22:32,2022,4952
1594,M,65,1:22:33,2022,4953
1595,M,62,1:23:04,2022,4984
1596,M,33,1:23:07,2022,4987
1597,F,43,1:23:11,2022,4991
1598,F,55,1:23:22,2022,5002
1599,M,51,1:23:24,2022,5004
1600,F,44,1:23:24,2022,5004
1601,M,34,1:23:30,2022,5010
1602,M,60,1:23:37,2022,5017
